task_raw_id,task_id
sm_Task-1877_ft_0,91818779
sm_Task-1880_ft_0,91818809
sm_Task-1883_ft_0,91818839
sm_Task-190_ft_0,9181909
sm_Task-1900_ft_0,91819009
sm_Task-1901_ft_0,91819019
sm_Task-1902_ft_0,91819029
sm_Task-194_ft_0,9181949
sm_Task-295_ft_0,9182959
sm_Task-380_ft_0,9183809
sm_Task-4_ft_0,91849
sm_Task-462_ft_0,9184629
sm_Task-513_ft_0,9185139
sm_Task-664_ft_0,9186649
sm_Task-674_ft_0,9186749
sm_Task-708_ft_0,9187089
sm_Task-733_ft_0,9187339
sm_Task-734_ft_0,9187349
sm_Task-827_ft_0,9188279
sm_Task-87_ft_0,918879
sm_Task-919_ft_0,9189199
sm_Task-953_ft_0,9189539
sm_Task-984_ft_0,9189849
us_Task-1005_ft_0,98810059
us_Task-1009_ft_0,98810099
us_Task-119_ft_0,9881199
us_Task-1327_ft_0,98813279
us_Task-1329_ft_0,98813299
us_Task-1354_ft_0,98813549
us_Task-1419_ft_0,98814199
us_Task-1423_ft_0,98814239
us_Task-1446_ft_0,98814469
us_Task-1528_ft_0,98815289
us_Task-1531_ft_0,98815319
us_Task-1540_ft_0,98815409
us_Task-1541_ft_0,98815419
us_Task-1621_ft_0,98816219
us_Task-165_ft_0,9881659
us_Task-1805_ft_0,98818059
us_Task-1806_ft_0,98818069
us_Task-1807_ft_0,98818079
us_Task-1874_ft_0,98818749
us_Task-1888_ft_0,98818889
us_Task-1892_ft_0,98818929
us_Task-190_ft_0,9881909
us_Task-1907_ft_0,98819079
us_Task-1908_ft_0,98819089
us_Task-1909_ft_0,98819099
us_Task-1945_ft_0,98819459
us_Task-1999_ft_0,98819999
us_Task-205_ft_0,9882059
us_Task-2087_ft_0,98820879
us_Task-2116_ft_0,98821169
us_Task-2192_ft_0,98821929
us_Task-2210_ft_0,98822109
us_Task-2212_ft_0,98822129
us_Task-2213_ft_0,98822139
us_Task-2214_ft_0,98822149
us_Task-2353_ft_0,98823539
us_Task-2486_ft_0,98824869
us_Task-2491_ft_0,98824919
us_Task-2494_ft_0,98824949
us_Task-2523_ft_0,98825239
us_Task-2585_ft_0,98825859
us_Task-2725_ft_0,98827259
us_Task-2726_ft_0,98827269
us_Task-2727_ft_0,98827279
us_Task-2728_ft_0,98827289
us_Task-2729_ft_0,98827299
us_Task-2790_ft_0,98827909
us_Task-2861_ft_0,98828619
us_Task-2862_ft_0,98828629
us_Task-2863_ft_0,98828639
us_Task-2864_ft_0,98828649
us_Task-296_ft_0,9882969
us_Task-3008_ft_0,98830089
us_Task-3073_ft_0,98830739
us_Task-3107_ft_0,98831079
us_Task-3164_ft_0,98831649
us_Task-3198_ft_0,98831989
us_Task-320_ft_0,9883209
us_Task-3242_ft_0,98832429
us_Task-3396_ft_0,98833969
us_Task-3400_ft_0,98834009
us_Task-3428_ft_0,98834289
us_Task-3459_ft_0,98834599
us_Task-3468_ft_0,98834689
us_Task-3568_ft_0,98835689
us_Task-357_ft_0,9883579
us_Task-3744_ft_0,98837449
us_Task-3745_ft_0,98837459
us_Task-3747_ft_0,98837479
us_Task-3748_ft_0,98837489
us_Task-3775_ft_0,98837759
us_Task-423_ft_0,9884239
us_Task-488_ft_0,9884889
us_Task-489_ft_0,9884899
us_Task-49_ft_0,988499
us_Task-491_ft_0,9884919
us_Task-493_ft_0,9884939
us_Task-601_ft_0,9886019
us_Task-602_ft_0,9886029
us_Task-603_ft_0,9886039
us_Task-604_ft_0,9886049
us_Task-631_ft_0,9886319
us_Task-948_ft_0,9889489
a8_Task-1023_op0,32810230
a8_Task-1138_op0,32811380
a8_Task-1347_op0,32813470
a8_Task-1389_op0,32813890
a8_Task-1519_op0,32815190
a8_Task-1593_op0,32815930
a8_Task-1603_op0,32816030
a8_Task-1606_op0,32816060
a8_Task-1640_op0,32816400
a8_Task-1708_op0,32817080
a8_Task-1824_op0,32818240
a8_Task-1838_op0,32818380
a8_Task-1856_op0,32818560
a8_Task-188_op0,3281880
a8_Task-2018_op0,32820180
a8_Task-212_op0,3282120
a8_Task-2132_op0,32821320
a8_Task-2230_op0,32822300
a8_Task-2283_op0,32822830
a8_Task-2345_op0,32823450
a8_Task-2386_op0,32823860
a8_Task-2528_op0,32825280
a8_Task-2810_op0,32828100
a8_Task-2873_op0,32828730
a8_Task-2906_op0,32829060
a8_Task-2930_op0,32829300
a8_Task-3036_op0,32830360
a8_Task-306_op0,3283060
a8_Task-3168_op0,32831680
a8_Task-3240_op0,32832400
a8_Task-3303_op0,32833030
a8_Task-3315_op0,32833150
a8_Task-3567_op0,32835670
a8_Task-3638_op0,32836380
a8_Task-371_op0,3283710
a8_Task-3748_op0,32837480
a8_Task-3798_op0,32837980
a8_Task-3830_op0,32838300
a8_Task-3844_op0,32838440
a8_Task-530_op0,3285300
a8_Task-619_op0,3286190
a8_Task-637_op0,3286370
a8_Task-732_op0,3287320
a8_Task-828_op0,3288280
a9_Task-1027_op0,32910270
a9_Task-1116_op0,32911160
a9_Task-1128_op0,32911280
a9_Task-1129_op0,32911290
a9_Task-1249_op0,32912490
a9_Task-1302_op0,32913020
a9_Task-1514_op0,32915140
a9_Task-1794_op0,32917940
a9_Task-1889_op0,32918890
a9_Task-1900_op0,32919000
a9_Task-1957_op0,32919570
a9_Task-1958_op0,32919580
a9_Task-2063_op0,32920630
a9_Task-2211_op0,32922110
a9_Task-2327_op0,32923270
a9_Task-242_op0,3292420
a9_Task-3363_op0,32933630
a9_Task-3497_op0,32934970
a9_Task-3533_op0,32935330
a9_Task-3637_op0,32936370
a9_Task-626_op0,3296260
a9_Task-661_op0,3296610
a9_Task-717_op0,3297170
a9_Task-838_op0,3298380
bi_Task-101_op0,3701010
bi_Task-1013_op0,37010130
bi_Task-102_op0,3701020
bi_Task-1028_op0,37010280
bi_Task-103_op0,3701030
bi_Task-106_op0,3701060
bi_Task-107_op0,3701070
bi_Task-1078_op0,37010780
bi_Task-1091_op0,37010910
bi_Task-11_op0,370110
bi_Task-111_op0,3701110
bi_Task-1186_op0,37011860
bi_Task-119_op0,3701190
bi_Task-1209_op0,37012090
bi_Task-130_op0,3701300
bi_Task-1364_op0,37013640
bi_Task-1373_op0,37013730
bi_Task-1449_op0,37014490
bi_Task-1765_op0,37017650
bi_Task-1802_op0,37018020
bi_Task-1909_op0,37019090
bi_Task-2022_op0,37020220
bi_Task-2164_op0,37021640
bi_Task-2177_op0,37021770
bi_Task-22_op0,370220
bi_Task-2208_op0,37022080
bi_Task-2275_op0,37022750
bi_Task-2296_op0,37022960
bi_Task-2330_op0,37023300
bi_Task-2338_op0,37023380
bi_Task-2422_op0,37024220
bi_Task-245_op0,3702450
bi_Task-2452_op0,37024520
bi_Task-255_op0,3702550
bi_Task-2630_op0,37026300
bi_Task-2645_op0,37026450
bi_Task-2847_op0,37028470
bi_Task-2853_op0,37028530
bi_Task-2856_op0,37028560
bi_Task-2966_op0,37029660
bi_Task-2987_op0,37029870
bi_Task-317_op0,3703170
bi_Task-322_op0,3703220
bi_Task-3244_op0,37032440
bi_Task-3386_op0,37033860
bi_Task-3448_op0,37034480
bi_Task-3484_op0,37034840
bi_Task-3485_op0,37034850
bi_Task-3685_op0,37036850
bi_Task-3775_op0,37037750
bi_Task-3931_op0,37039310
bi_Task-41_op0,370410
bi_Task-512_op0,3705120
bi_Task-549_op0,3705490
bi_Task-641_op0,3706410
bi_Task-711_op0,3707110
bi_Task-724_op0,3707240
bi_Task-83_op0,370830
bi_Task-87_op0,370870
bi_Task-871_op0,3708710
bi_Task-90_op0,370900
bi_Task-92_op0,370920
bi_Task-94_op0,370940
bi_Task-95_op0,370950
bi_Task-97_op0,370970
bi_Task-989_op0,3709890
bi_Task-99_op0,370990
ch_Task-1_op0,40110
ch_Task-1064_op0,40110640
ch_Task-1065_op0,40110650
ch_Task-1067_op0,40110670
ch_Task-1078_op0,40110780
ch_Task-1079_op0,40110790
ch_Task-181_op0,4011810
ch_Task-1901_op0,40119010
ch_Task-1936_op0,40119360
ch_Task-2086_op0,40120860
ch_Task-2094_op0,40120940
ch_Task-2098_op0,40120980
ch_Task-2101_op0,40121010
ch_Task-2102_op0,40121020
ch_Task-2115_op0,40121150
ch_Task-2147_op0,40121470
ch_Task-2384_op0,40123840
ch_Task-2539_op0,40125390
ch_Task-2598_op0,40125980
ch_Task-2609_op0,40126090
ch_Task-2656_op0,40126560
ch_Task-2689_op0,40126890
ch_Task-2690_op0,40126900
ch_Task-2785_op0,40127850
ch_Task-2828_op0,40128280
ch_Task-2842_op0,40128420
ch_Task-3120_op0,40131200
ch_Task-3122_op0,40131220
ch_Task-3123_op0,40131230
ch_Task-3140_op0,40131400
ch_Task-3297_op0,40132970
ch_Task-3298_op0,40132980
ch_Task-3455_op0,40134550
ch_Task-3456_op0,40134560
ch_Task-3487_op0,40134870
ch_Task-3711_op0,40137110
ch_Task-420_op0,4014200
ch_Task-475_op0,4014750
ch_Task-686_op0,4016860
